Symbol, StockName,Sector,Industry,Currency,Sector
0294.HK,YANGTZEKIANG,Industry,Full Time Employees,HKD,Equity Securities (Main Board)
0295.HK,KONG SUN HOLD,Utilities,Utilities&Renewable,CNY,Equity Securities (Main Board)
0296.HK,EMPEROR E HOTEL,Consumer Cyclical,Resorts & Casinos,HKD,Equity Securities (Main Board)
0297.HK,SINOFERT,Basic Materials,Agricultural Inputs,CNY,Equity Securities (Main Board)
0298.HK,CHUANG'S CHINA,Real Estate,Real Estate&Development,HKD,Equity Securities (Main Board)
0299.HK,GLORY SUN LAND,Financial Services,Capital Markets,HKD,Equity Securities (Main Board)
0301.HK,SANVO CHEMICALS,NaN,NaN,HKD,Equity Securities (Main Board)
0302.HK,CMGE,NaN,NaN,CNY,Equity Securities (Main Board)
0303.HK,VTECH HOLDINGS,Technology,Communication Equipment,USD,Equity Securities (Main Board)
0305.HK,WULING MOTORS,Consumer Cyclical,Auto Manufacturers,HKD,Equity Securities (Main Board)
0306.HK,KWOON CHUNG BUS,Industrials,Railroads,HKD,Equity Securities (Main Board)
0307.HK,UP ENERGY DEV,NaN,NaN,USD,Equity Securities (Main Board)
0308.HK,CHINA TRAVEL HK,Consumer Cyclical,Leisure,HKD,Equity Securities (Main Board)
0309.HK,XH NEWS MEDIA,Industrials,Specialty Business Services,HKD,Equity Securities (Main Board)
0310.HK,PROSP INV HOLD,NaN,NaN,HKD,Investment Companies
